quarter,UNRATE,PSAVERT,CORCACBS,PCE_QoQ,REVOLSL_QoQ,t
1991Q1,6.6000000000000005,8.833333333333334,2.2,0.1455359898637098,1.9053011633360484,24
1991Q2,6.833333333333333,8.733333333333333,2.33,1.3683097059107752,3.2545389191422918,25
1991Q3,6.866666666666667,8.666666666666666,2.4,1.172979534063856,2.1711507789488493,26
1991Q4,7.1000000000000005,9.433333333333334,2.28,0.6714100113658361,2.502040008453754,27
1992Q1,7.366666666666667,9.666666666666666,2.39,2.478183550860713,1.3526995571201184,28
1992Q2,7.6,9.866666666666667,2.27,1.3388334767618917,1.0790652020878255,29
1992Q3,7.633333333333333,9.233333333333333,2.1,1.7019656889925017,1.082502429449228,30
1992Q4,7.366666666666667,8.766666666666667,2.07,1.87955194435645,1.585502766518232,31
1993Q1,7.133333333333333,8.700000000000001,1.84,0.9772854937240892,2.4188256409697573,32
1993Q2,7.066666666666666,8.2,1.82,1.576200786933235,1.8651475734458245,33
1993Q3,6.8,7.3,1.72,1.5398566812137915,2.795763560141573,34
1993Q4,6.633333333333333,7.133333333333333,1.56,1.449167122386008,3.1176047620048664,35
1994Q1,6.566666666666666,6.7,1.49,1.4948482863596624,3.171669375707076,36
1994Q2,6.2,6.866666666666667,1.42,1.3312894555408403,4.260866420676912,37
1994Q3,6.0,6.666666666666667,1.41,1.4745371851946132,4.810196657279242,38
1994Q4,5.633333333333333,6.966666666666666,1.47,1.5443113201222047,4.082543250190618,39
1995Q1,5.466666666666666,7.466666666666666,1.44,0.7382849393872348,4.9387431976558815,40
1995Q2,5.666666666666667,6.766666666666667,1.63,1.4523090958311613,5.00851337686381,41
1995Q3,5.666666666666667,6.7,1.82,1.310226551041005,5.041957663970997,42
1995Q4,5.566666666666666,6.466666666666666,1.99,1.1338516195595003,4.5435753013917335,43
1996Q1,5.533333333333334,6.5,2.14,1.4712885006677112,3.959301705483398,44
1996Q2,5.5,6.3,2.26,1.7376956404257626,3.133552894596825,45
1996Q3,5.266666666666667,6.433333333333334,2.33,1.0284320327640373,2.6677952717209408,46
1996Q4,5.333333333333333,6.133333333333333,2.4,1.4729673056891102,3.1673679061576365,47
1997Q1,5.233333333333333,6.0,2.56,1.489631224056076,2.552958022545404,48
1997Q2,5.0,6.333333333333333,2.77,0.6994189854664157,0.5053215709262204,49
1997Q3,4.866666666666667,5.8,2.79,1.953535905733972,2.0637397340976804,50
1997Q4,4.666666666666667,6.033333333333334,2.68,1.502619560023355,2.061998408591137,51
1998Q1,4.633333333333333,7.033333333333334,2.63,1.0136260511753648,0.7085993836172477,52
1998Q2,4.4,6.666666666666667,2.64,1.9255276591270127,3.8790309387747968,53
1998Q3,4.533333333333333,6.4,2.57,1.603853157761037,0.6693761232394735,54
1998Q4,4.433333333333334,5.8,2.5,1.6958301635442652,1.8325422655111725,55
1999Q1,4.3,5.9,2.4,1.2168060703894312,1.77419302596018,56
1999Q2,4.266666666666667,4.466666666666667,2.12,2.0855937304069982,0.7339819695967975,57
1999Q3,4.233333333333333,4.133333333333334,2.26,1.6664443847558277,2.3848295355721305,58
1999Q4,4.066666666666666,3.9333333333333336,2.2,2.057504670364274,0.963044875289576,59
2000Q1,4.033333333333333,4.1000000000000005,2.23,2.3110989432101547,1.398113274801105,60
2000Q2,3.9333333333333336,4.3,2.14,1.4053604108244857,2.2425150547643824,61
2000Q3,4.0,4.533333333333333,2.19,1.597251389289056,3.5321856568272025,62
2000Q4,3.9,4.233333333333333,2.67,1.4358852765093744,2.990222897606465,63
2001Q1,4.233333333333333,4.666666666666667,2.35,1.1025057951785655,3.050680938997808,64
2001Q2,4.4,4.433333333333334,2.62,0.6686859735326678,1.9797556667057847,65
2001Q3,4.833333333333333,6.266666666666667,2.79,0.3982271658868441,-0.3385694248782656,66
2001Q4,5.5,3.333333333333333,3.12,1.6407953280390686,0.5200784906103095,67
2002Q1,5.7,5.5,3.6,0.4225381213418089,0.7776700425480954,68
2002Q2,5.833333333333333,5.866666666666667,3.1,1.2424116431121843,1.6995722263553503,69
2002Q3,5.733333333333333,5.433333333333334,3.12,1.212746047495905,1.528462806789399,70
2002Q4,5.866666666666667,5.5,2.81,1.0199526667094003,1.2850386116653567,71
2003Q1,5.866666666666667,5.133333333333334,2.84,1.2522243490341367,1.0727021235378942,72
2003Q2,6.133333333333333,5.133333333333333,3.03,1.2389128342215727,0.6676209180975334,73
2003Q3,6.133333333333333,5.5,2.8,2.0600463255478374,0.3700279027173181,74
2003Q4,5.833333333333333,5.0,2.86,1.1762050047140704,0.0890616916494835,75
2004Q1,5.7,4.566666666666666,2.72,1.6952921011897717,0.9665085930835816,76
2004Q2,5.599999999999999,5.033333333333334,2.76,1.214316512700364,0.5262620363245318,77
2004Q3,5.433333333333334,4.5,2.51,1.6583428164498315,1.4195631758854077,78
2004Q4,5.433333333333334,4.5,2.64,1.976317411723372,1.1217800959512303,79
2005Q1,5.3,2.5,2.49,1.2125353454985444,0.8300501538069938,80
2005Q2,5.1000000000000005,2.2333333333333334,2.41,1.731929392885867,0.8486599380692184,81
2005Q3,4.966666666666667,1.8,3.02,1.9007282814653688,0.7552099950983049,82
2005Q4,4.966666666666667,2.466666666666667,3.04,0.9781245401285332,0.9769632471794408,83
2006Q1,4.733333333333333,3.1666666666666665,1.77,1.6050914781855496,6.889486114643972,84
2006Q2,4.633333333333333,2.966666666666667,1.92,1.3913489337998186,1.3987497313916464,85
2006Q3,4.633333333333334,2.4,2.2,1.3576460136430768,0.7381659445846012,86
2006Q4,4.433333333333334,2.566666666666667,2.14,0.7834129181230054,1.5530331378924345,87
2007Q1,4.5,2.733333333333333,2.35,1.5239292436698193,1.679036794395472,88
2007Q2,4.5,2.833333333333333,2.32,1.1074939266105588,1.647003302501027,89
2007Q3,4.666666666666667,2.3666666666666667,2.45,1.2284666387563092,1.952400329402515,90
2007Q4,4.8,2.1666666666666665,2.8,1.4062876905668986,2.618566107561371,91
2008Q1,5.0,2.833333333333333,2.95,0.6753077909756655,2.017332550824591,92
2008Q2,5.333333333333333,4.6000000000000005,3.27,1.2459786608703285,0.5819063872031904,93
2008Q3,6.0,3.533333333333333,3.7,0.2875127870009208,-0.299242276777889,94
2008Q4,6.866666666666667,5.566666666666666,4.28,-2.5131725693992024,-0.5729271352903353,95
2009Q1,8.266666666666667,5.7,4.76,-0.9326417159250866,-1.339755719217628,96
2009Q2,9.3,6.8,5.58,-0.0964978821563988,-2.7125225556064336,97
2009Q3,9.633333333333333,5.1000000000000005,5.92,1.3563203934817023,-1.7463633037754889,98
